timestamp,open,high,low,close,volume
2025-08-19 00:00:00+00:00,43.32,44.16,40.93,41.28,410878.386
2025-08-20 00:00:00+00:00,41.28,43.23,40.55,42.95,537782.304
2025-08-21 00:00:00+00:00,42.95,43.39,40.39,40.43,403314.008
2025-08-22 00:00:00+00:00,40.43,45.51,40.43,45.31,793319.436
2025-08-23 00:00:00+00:00,45.31,45.34,43.29,44.89,274010.525
2025-08-24 00:00:00+00:00,44.89,46.95,43.4,46.04,367139.146
2025-08-25 00:00:00+00:00,46.04,47.37,42.53,42.97,641233.297
2025-08-26 00:00:00+00:00,42.97,49.73,42.37,48.78,664970.882
2025-08-27 00:00:00+00:00,48.78,51.17,46.82,46.99,1476941.029
2025-08-28 00:00:00+00:00,46.99,49.02,45.56,45.6,1008139.676
2025-08-29 00:00:00+00:00,45.6,46.13,43.28,44.44,990188.464
2025-08-30 00:00:00+00:00,44.44,44.92,43.27,44.06,488611.226
2025-08-31 00:00:00+00:00,44.06,45.36,44.03,44.27,473154.453
2025-09-01 00:00:00+00:00,44.27,45.48,42.47,43.1,711236.291
2025-09-02 00:00:00+00:00,43.1,45.03,42.94,44.88,793957.181
2025-09-03 00:00:00+00:00,44.88,46.47,44.25,45.84,753751.967
2025-09-04 00:00:00+00:00,45.84,46.37,44.41,45.33,887338.756
2025-09-05 00:00:00+00:00,45.33,47.7,45.05,47.22,984482.473
2025-09-06 00:00:00+00:00,47.22,47.83,45.41,45.98,522153.548
2025-09-07 00:00:00+00:00,45.98,47.67,45.96,47.1,520777.222
2025-09-08 00:00:00+00:00,47.1,51.94,46.96,50.87,1278066.516
2025-09-09 00:00:00+00:00,50.87,55.52,50.53,53.25,1641699.774
2025-09-10 00:00:00+00:00,53.25,56.1,52.54,55.46,1767543.992
2025-09-11 00:00:00+00:00,55.46,57.23,53.03,57.07,2201602.512
2025-09-12 00:00:00+00:00,57.07,57.45,54.72,55.26,2294944.724
2025-09-13 00:00:00+00:00,55.26,56.87,54.21,54.46,1571947.327
2025-09-14 00:00:00+00:00,54.46,55.31,53.54,53.7,1497425.651
2025-09-15 00:00:00+00:00,53.7,54.62,52.04,54.01,1859289.753
2025-09-16 00:00:00+00:00,54.01,54.61,52.24,54.44,1915664.844
2025-09-17 00:00:00+00:00,54.44,57.99,53.86,57.73,2147338.353
2025-09-18 00:00:00+00:00,57.73,59.45,57.27,58.6,1618307.437
2025-09-19 00:00:00+00:00,58.6,59.21,55.19,56.11,1365929.711
2025-09-20 00:00:00+00:00,56.11,56.58,53.78,54.17,1018864.547
2025-09-21 00:00:00+00:00,54.17,54.3,50.57,50.78,1595869.614
2025-09-22 00:00:00+00:00,50.78,51.23,45.94,47.19,2425848.969
2025-09-23 00:00:00+00:00,47.19,48.87,44.28,44.59,2267071.81
2025-09-24 00:00:00+00:00,44.59,46.8,43.19,45.63,2599782.978
2025-09-25 00:00:00+00:00,45.63,45.98,39.65,40.33,4039049.858
2025-09-26 00:00:00+00:00,40.33,45.6,40.32,44.78,3017471.868
2025-09-27 00:00:00+00:00,44.78,46.53,43.05,45.7,2064634.73
2025-09-28 00:00:00+00:00,45.7,47.29,42.87,47.15,1470796.611
2025-09-29 00:00:00+00:00,47.15,48.12,44.95,46.17,1710377.65
2025-09-30 00:00:00+00:00,46.17,46.44,43.47,45.19,2415582.274
2025-10-01 00:00:00+00:00,45.19,48.06,44.55,47.21,1412129.217
2025-10-02 00:00:00+00:00,47.21,51.04,46.99,50.77,2168735.739
2025-10-03 00:00:00+00:00,50.77,50.85,48.44,49.4,1570523.883
2025-10-04 00:00:00+00:00,49.4,49.55,47.68,49.11,712087.078
2025-10-05 00:00:00+00:00,49.11,51.47,47.35,48.22,1425170.289
2025-10-06 00:00:00+00:00,48.22,49.73,47.2,47.2,1506021.968
2025-10-07 00:00:00+00:00,47.2,47.74,44.51,45.1,2279001.144
2025-10-08 00:00:00+00:00,45.1,47.32,44.83,46.62,1262739.776
2025-10-09 00:00:00+00:00,46.62,46.77,42.36,43.95,1767739.042
2025-10-10 00:00:00+00:00,43.95,45.39,20.35,37.59,4490592.237
2025-10-11 00:00:00+00:00,37.59,42.14,35.07,36.82,5110811.279
2025-10-12 00:00:00+00:00,36.82,40.9,35.9,39.61,2777060.179
2025-10-13 00:00:00+00:00,39.61,43.62,38.18,42.45,3395621.517
2025-10-14 00:00:00+00:00,42.45,43.16,37.39,39.41,3916796.471
2025-10-15 00:00:00+00:00,39.41,41.18,36.86,37.42,2991288.166
2025-10-16 00:00:00+00:00,37.42,39.51,36.27,36.8,3266203.819
2025-10-17 00:00:00+00:00,36.8,37.55,33.25,35.5,3951781.632
2025-10-18 00:00:00+00:00,35.5,36.91,34.64,36.86,1651169.778
2025-10-19 00:00:00+00:00,36.86,38.95,35.73,37.4,1766808.586
2025-10-20 00:00:00+00:00,37.4,39.58,36.65,37.96,1618452.697
2025-10-21 00:00:00+00:00,37.96,38.38,35.17,35.37,3845597.754
2025-10-22 00:00:00+00:00,35.37,36.83,34.48,36.25,3457357.849
2025-10-23 00:00:00+00:00,36.25,40.78,36.17,40.2,3299186.12
2025-10-24 00:00:00+00:00,40.2,40.88,38.7,39.33,1723479.734
2025-10-25 00:00:00+00:00,39.33,44.67,38.9,44.25,1436116.46
2025-10-26 00:00:00+00:00,44.25,48.63,43.52,47.32,2005002.188
2025-10-27 00:00:00+00:00,47.32,49.43,45.45,46.58,2464351.768
2025-10-28 00:00:00+00:00,46.58,49.47,46.02,47.69,2916658.387
2025-10-29 00:00:00+00:00,47.69,49.9,45.8,48.02,3230068.886
2025-10-30 00:00:00+00:00,48.02,50.15,42.7,45.39,3614523.733
2025-10-31 00:00:00+00:00,45.39,46.25,42.38,43.67,2205694.033
2025-11-01 00:00:00+00:00,43.67,44.55,42.69,43.27,1230838.499
2025-11-02 00:00:00+00:00,43.27,43.47,41.08,42.44,1360469.293
2025-11-03 00:00:00+00:00,42.44,42.73,38.2,40.17,3248149.53
2025-11-04 00:00:00+00:00,40.17,40.79,35.39,38.99,4744073.599
2025-11-05 00:00:00+00:00,38.99,42.2,37.47,41.34,2403805.842
2025-11-06 00:00:00+00:00,41.34,41.34,37.6,38.49,1854791.184
2025-11-07 00:00:00+00:00,38.49,43.32,37.95,42.2,1905387.49
2025-11-08 00:00:00+00:00,42.2,43.24,39.66,40.14,1230570.244
2025-11-09 00:00:00+00:00,40.14,42.79,39.2,41.81,1068633.903
2025-11-10 00:00:00+00:00,41.81,43.23,40.82,41.42,1287827.536
2025-11-11 00:00:00+00:00,41.42,41.95,38.47,38.68,1740884.239
2025-11-12 00:00:00+00:00,38.68,40.84,37.47,38.37,1911552.74
2025-11-13 00:00:00+00:00,38.37,39.84,36.62,38.55,1498782.805
2025-11-14 00:00:00+00:00,38.55,38.62,36.03,37.51,1983178.112
2025-11-15 00:00:00+00:00,37.51,39.57,37.33,38.6,677450.891
2025-11-16 00:00:00+00:00,38.6,40.5,37.52,38.71,1553111.793
2025-11-17 00:00:00+00:00,38.71,39.3,37.12,39.3,1725174.026
2025-11-18 00:00:00+00:00,39.3,41.65,38.27,38.67,2815955.096
2025-11-19 00:00:00+00:00,38.67,39.12,37.15,38.86,1569094.262
2025-11-20 00:00:00+00:00,38.86,39.84,37.39,37.56,1206637.357
2025-11-21 00:00:00+00:00,37.56,38.55,31.68,33.86,4303725.469
2025-11-22 00:00:00+00:00,33.86,34.53,29.38,29.98,1465087.155
2025-11-23 00:00:00+00:00,29.98,32.65,29.64,31.87,1909147.68
2025-11-24 00:00:00+00:00,31.87,34.64,30.43,33.72,1838772.983
2025-11-25 00:00:00+00:00,33.72,34.51,31.82,33.76,2126686.344
2025-11-26 00:00:00+00:00,33.76,36.37,33.06,36.26,1495881.732
2025-11-27 00:00:00+00:00,36.26,36.53,34.53,34.74,792664.81
2025-11-28 00:00:00+00:00,34.74,36.78,33.8,34.92,1162647.879
2025-11-29 00:00:00+00:00,34.92,36.43,34.05,34.33,1655897.804
